timestamp,action
1767990739,page_open
1767990747,page_open
1767990750,page_open
1767990750,page_open
1767990750,run_analysis
1767991598,page_open
1767991605,page_open
1767991608,page_open
1767991608,page_open
1767991608,run_analysis
1767993124,page_open
1767993132,page_open
1767993135,page_open
1767993135,page_open
1767993135,run_analysis
1767994128,page_open
1767994134,page_open
1767994138,page_open
1767994138,page_open
1767994138,run_analysis
1767995158,page_open
1767995162,page_open
1767995165,page_open
1767995165,page_open
1767995165,run_analysis
1767995189,page_open
1767995192,page_open
